0,9449,1
0,9839,1
0,10076,1
0,11752,1
0,11863,1
1,58,1
1,3309,1
1,4136,1
1,4572,1
1,10955,1
2,453,1
2,4208,1
2,4386,1
2,5665,1
2,6362,1
2,8649,1
2,9404,1
2,10253,1
3,3495,1
3,8650,1
3,8823,1
3,8968,1
3,9766,1
3,10130,1
3,10320,1
4,5097,1
4,8071,1
4,8346,1
4,8823,1
4,8935,1
4,10162,1
5,2713,1
5,3614,1
5,3905,1
5,4643,1
5,6004,1
5,7449,1
5,8029,1
5,9211,1
5,9884,1
6,9580,1
6,9621,1
6,9856,1
6,10925,1
7,456,1
7,2419,1
7,2938,1
7,3767,1
7,4276,1
7,5380,1
8,598,1
8,947,1
8,1177,1
8,2921,1
8,7856,1
9,1520,1
9,2999,1
9,3093,1
9,3895,1
9,3903,1
9,5180,1
9,5849,1
9,6605,1
9,6606,1
9,7139,1
9,7396,1
9,7523,1
9,7788,1
9,7861,1
9,7921,1
9,8465,1
9,8481,1
9,8607,1
9,8612,1
9,9493,1
9,9559,1
9,10041,1
9,10321,1
10,277,1
10,1218,1
10,3530,1
10,4234,1
10,5023,1
10,7041,1
11,454,1
11,1189,1
11,3312,1
11,8747,1
11,10112,1
12,3226,1
12,4194,1
12,4195,1
12,8042,1
12,10573,1
12,10579,1
12,11233,1
12,11792,1
13,5062,1
13,5094,1
13,5526,1
13,6230,1
13,7297,1
14,186,1
14,3513,1
14,8198,1
14,10286,1
15,663,1
15,2243,1
15,2645,1
15,8843,1
16,12,1
16,7121,1
16,8823,1
16,9431,1
16,10034,1
16,10229,1
16,10608,1
16,11360,1
17,8445,1
17,9193,1
17,9194,1
17,10346,1
18,81,1
18,5999,1
18,7359,1
18,7755,1
19,6308,1
19,6788,1
19,7294,1
19,7655,1
20,2099,1
20,4504,1
20,4747,1
20,4957,1
21,330,1
21,331,1
21,2016,1
21,2034,1
22,4060,1
22,7228,1
22,10761,1
22,10797,1
23,5014,1
23,5015,1
23,7771,1
23,9913,1
24,14,1
24,5144,1
24,5604,1
24,9561,1
24,9777,1
25,5489,1
25,5522,1
25,8879,1
25,11452,1
26,270,1
26,3231,1
26,4667,1
26,8582,1
26,8683,1
26,8823,1
26,9368,1
